name,net_pnl,stress_net_pnl,return_pct,max_drawdown_pct,closed_cycles,exclude_best_pnl,development_eligible
fresh_highs-exit6-stop4,43.28835701857133,19.221734029568324,0.4328835701857159,-1.3958723692422237,8,-30.621386735028665,True
fresh_highs-exit6-stop8,-21.250943715178437,-45.2568369795481,-0.2125094371517866,-1.6450285535523412,8,-95.16068746877843,False
fresh_highs-exit12-stop4,116.02135670572898,95.06249655072679,1.1602135670572888,-1.5980026980217832,7,42.545481604333034,False
fresh_highs-exit12-stop8,56.302973289055444,35.48584972300887,0.563029732890552,-1.9854727467482403,7,-5.288446404544473,False
fresh_highs-exit18-stop4,94.49601383548907,73.58841461290285,0.9449601383549,-1.6647863630917303,7,21.020138734093123,False
fresh_highs-exit18-stop8,126.50634210659337,105.52145055493384,1.2650634210659373,-2.3340492637373034,7,64.91492241299345,False
hold_level-exit6-stop4,-153.67246538847758,-206.733717126197,-1.53672465388478,-3.442247677710897,19,-243.0364285383978,False
hold_level-exit6-stop8,-83.3040672489442,-131.02012254011424,-0.8330406724894379,-3.188115589214058,17,-172.6680303988644,False
hold_level-exit12-stop4,19.204081176600084,-22.16735331469863,0.1920408117660033,-3.1820783851638335,15,-164.96495820511174,False
hold_level-exit12-stop8,109.84657729195897,74.06292580456648,1.098465772919588,-2.449856722324517,13,-48.327688084553245,True
hold_level-exit18-stop4,-2.254378603380246,-43.51771976934833,-0.022543786033801805,-3.3889979990098906,15,-186.42341798509207,False
hold_level-exit18-stop8,150.33105800801786,117.89021534119274,1.503310580080175,-2.449856722324517,12,-7.8432073684943475,True
