sym,exit,reason,pnl
RSPY,2026-06-03 16:00:00+00:00,channel_exit,-15.470095750573364
RQQQ,2026-06-04 08:00:00+00:00,channel_exit,-32.457863215724046
RTSLA,2026-06-16 00:00:00+00:00,channel_exit,-5.31017452297192
RSPY,2026-06-17 16:00:00+00:00,channel_exit,-30.38546094960202
RTSLA,2026-06-22 00:00:00+00:00,channel_exit,-49.89790633187317
RQQQ,2026-06-23 04:00:00+00:00,channel_exit,-47.37606382310719
RTSLA,2026-06-23 12:00:00+00:00,channel_exit,-94.35438764279547
RAAPL,2026-06-24 20:00:00+00:00,channel_exit,-59.94447989396235
RQQQ,2026-07-02 16:00:00+00:00,channel_exit,-66.21025662004195
RTSLA,2026-07-02 16:00:00+00:00,trailing_stop,-38.76192978096617
RTSLA,2026-07-13 00:00:00+00:00,channel_exit,-76.9402625779735
RQQQ,2026-07-13 04:00:00+00:00,channel_exit,-31.514361182042876
RSPY,2026-07-17 00:00:00+00:00,channel_exit,9.539280923880142
RAAPL,2026-07-20 12:00:00+00:00,channel_exit,241.4738598570682
RQQQ,2026-07-23 12:00:00+00:00,channel_exit,-34.523212565053655
RSPY,2026-07-29 12:00:00+00:00,channel_exit,-33.21120721234752
RAAPL,2026-07-30 12:00:00+00:00,channel_exit,-11.384795084746884
RQQQ,2026-08-10 20:00:00+00:00,channel_exit,80.64914932684678
RSPY,2026-08-11 16:00:00+00:00,channel_exit,59.51590497536313
RTSLA,2026-08-12 12:00:00+00:00,channel_exit,42.1771961211366
RSPY,2026-08-17 16:00:00+00:00,channel_exit,-17.797482400787658
RQQQ,2026-08-18 00:00:00+00:00,channel_exit,-23.27576345521834
RTSLA,2026-08-18 00:00:00+00:00,channel_exit,-29.419067230616747
