ts,equity
2026-06-01 00:00:00+00:00,10000.0
2026-06-01 04:00:00+00:00,9997.6
2026-06-01 08:00:00+00:00,9998.47045976102
2026-06-01 12:00:00+00:00,9993.64336472264
2026-06-01 16:00:00+00:00,9998.153928938831
2026-06-01 20:00:00+00:00,9993.434981931367
2026-06-02 00:00:00+00:00,9990.0560154045
2026-06-02 04:00:00+00:00,9996.386631848276
2026-06-02 08:00:00+00:00,9993.833283215954
2026-06-02 12:00:00+00:00,10001.48805359922
2026-06-02 16:00:00+00:00,9998.444238261614
2026-06-02 20:00:00+00:00,9998.733098177534
2026-06-03 00:00:00+00:00,9999.055233463318
2026-06-03 04:00:00+00:00,9998.937572336017
2026-06-03 08:00:00+00:00,10002.181692647568
2026-06-03 12:00:00+00:00,9980.868485412873
2026-06-03 16:00:00+00:00,9977.041413910834
2026-06-03 20:00:00+00:00,9961.393186752799
2026-06-04 00:00:00+00:00,9967.599396427435
2026-06-04 04:00:00+00:00,9968.618126309233
2026-06-04 08:00:00+00:00,9952.072041033702
2026-06-04 12:00:00+00:00,9952.072041033702
2026-06-04 16:00:00+00:00,9952.072041033702
2026-06-04 20:00:00+00:00,9952.072041033702
2026-06-05 00:00:00+00:00,9952.072041033702
2026-06-05 04:00:00+00:00,9952.072041033702
2026-06-05 08:00:00+00:00,9952.072041033702
2026-06-05 12:00:00+00:00,9952.072041033702
2026-06-05 16:00:00+00:00,9952.072041033702
2026-06-05 20:00:00+00:00,9952.072041033702
2026-06-06 00:00:00+00:00,9952.072041033702
2026-06-08 00:00:00+00:00,9952.072041033702
2026-06-08 04:00:00+00:00,9952.072041033702
2026-06-08 08:00:00+00:00,9952.072041033702
2026-06-08 12:00:00+00:00,9952.072041033702
2026-06-08 16:00:00+00:00,9952.072041033702
2026-06-08 20:00:00+00:00,9952.072041033702
2026-06-09 00:00:00+00:00,9952.072041033702
2026-06-09 04:00:00+00:00,9952.072041033702
2026-06-09 08:00:00+00:00,9952.072041033702
2026-06-09 12:00:00+00:00,9952.072041033702
2026-06-09 16:00:00+00:00,9952.072041033702
2026-06-09 20:00:00+00:00,9952.072041033702
2026-06-10 00:00:00+00:00,9952.072041033702
2026-06-10 04:00:00+00:00,9952.072041033702
2026-06-10 08:00:00+00:00,9952.072041033702
2026-06-10 12:00:00+00:00,9952.072041033702
2026-06-10 16:00:00+00:00,9952.072041033702
2026-06-10 20:00:00+00:00,9952.072041033702
2026-06-11 00:00:00+00:00,9952.072041033702
2026-06-11 04:00:00+00:00,9952.072041033702
2026-06-11 08:00:00+00:00,9952.072041033702
2026-06-11 12:00:00+00:00,9952.072041033702
2026-06-11 16:00:00+00:00,9952.072041033702
2026-06-11 20:00:00+00:00,9952.072041033702
2026-06-12 00:00:00+00:00,9952.072041033702
2026-06-12 04:00:00+00:00,9952.072041033702
2026-06-12 08:00:00+00:00,9952.072041033702
2026-06-12 12:00:00+00:00,9952.072041033702
2026-06-12 16:00:00+00:00,9952.072041033702
2026-06-12 20:00:00+00:00,9950.947509182215
2026-06-13 00:00:00+00:00,9951.644471642318
2026-06-13 04:00:00+00:00,9952.01372327681
2026-06-13 08:00:00+00:00,9950.305934467287
2026-06-13 12:00:00+00:00,9950.490560284532
2026-06-13 16:00:00+00:00,9950.72134255609
2026-06-13 20:00:00+00:00,9950.859811919025
2026-06-14 00:00:00+00:00,9950.375169148754
2026-06-14 04:00:00+00:00,9951.113672417738
2026-06-14 08:00:00+00:00,9951.275220007827
2026-06-14 12:00:00+00:00,9952.267583775521
2026-06-14 20:00:00+00:00,9951.621393415162
2026-06-15 00:00:00+00:00,9960.55266732442
2026-06-15 04:00:00+00:00,9958.0558237146
2026-06-15 08:00:00+00:00,9965.66211565644
2026-06-15 12:00:00+00:00,9989.235474720432
2026-06-15 16:00:00+00:00,9990.237734498547
2026-06-15 20:00:00+00:00,9980.582050230452
2026-06-16 00:00:00+00:00,9969.925003578162
2026-06-16 04:00:00+00:00,9971.000510551989
2026-06-16 08:00:00+00:00,9979.423314142205
2026-06-16 12:00:00+00:00,9942.865350969782
2026-06-16 16:00:00+00:00,9922.789280614024
2026-06-16 20:00:00+00:00,9922.91388755699
2026-06-17 00:00:00+00:00,9939.504018819685
2026-06-17 04:00:00+00:00,9946.0550429049
2026-06-17 08:00:00+00:00,9925.247874026316
2026-06-17 12:00:00+00:00,9927.942953127058
2026-06-17 16:00:00+00:00,9852.51559647655
2026-06-17 20:00:00+00:00,9880.472842203611
2026-06-18 00:00:00+00:00,9897.41373618363
2026-06-18 04:00:00+00:00,9896.8499504451
2026-06-18 08:00:00+00:00,9886.729361867136
2026-06-18 12:00:00+00:00,9905.393083550694
2026-06-18 16:00:00+00:00,9912.194254044989
2026-06-18 20:00:00+00:00,9908.473096473446
2026-06-19 00:00:00+00:00,9906.489231064763
2026-06-19 04:00:00+00:00,9910.999165243698
2026-06-19 08:00:00+00:00,9907.94832741677
2026-06-19 12:00:00+00:00,9910.269617067694
2026-06-19 16:00:00+00:00,9907.882004855317
2026-06-19 20:00:00+00:00,9909.208456084416
2026-06-20 00:00:00+00:00,9916.437615283003
2026-06-20 04:00:00+00:00,9949.86418625629
2026-06-20 08:00:00+00:00,9952.981346644672
2026-06-20 12:00:00+00:00,9955.63424910287
2026-06-20 16:00:00+00:00,9923.865742165955
2026-06-20 20:00:00+00:00,9959.878893035986
2026-06-21 00:00:00+00:00,9959.4146351058
2026-06-21 04:00:00+00:00,9902.122474328102
2026-06-21 08:00:00+00:00,9890.282703799054
2026-06-21 12:00:00+00:00,9900.835377897158
2026-06-21 16:00:00+00:00,9915.858654073118
2026-06-21 20:00:00+00:00,9922.675138295037
2026-06-22 00:00:00+00:00,9833.63329141251
2026-06-22 04:00:00+00:00,9860.278653296456
2026-06-22 08:00:00+00:00,9851.394166132099
2026-06-22 12:00:00+00:00,9871.632929974898
