ts,equity
2026-06-01 00:00:00+00:00,10000.0
2026-06-01 04:00:00+00:00,9996.0
2026-06-01 08:00:00+00:00,9996.87045976102
2026-06-01 12:00:00+00:00,9992.04336472264
2026-06-01 16:00:00+00:00,9996.55392893883
2026-06-01 20:00:00+00:00,9991.834981931366
2026-06-02 00:00:00+00:00,9988.4560154045
2026-06-02 04:00:00+00:00,9994.786631848276
2026-06-02 08:00:00+00:00,9992.233283215954
2026-06-02 12:00:00+00:00,9999.88805359922
2026-06-02 16:00:00+00:00,9995.244743151065
2026-06-02 20:00:00+00:00,9995.533615934066
2026-06-03 00:00:00+00:00,9995.8556954625
2026-06-03 04:00:00+00:00,9995.737892797317
2026-06-03 08:00:00+00:00,9998.981386482052
2026-06-03 12:00:00+00:00,9977.67001752424
2026-06-03 16:00:00+00:00,9972.251279189772
2026-06-03 20:00:00+00:00,9956.605555536675
2026-06-04 00:00:00+00:00,9962.810772301607
2026-06-04 04:00:00+00:00,9963.829339200387
2026-06-04 08:00:00+00:00,9945.708170969674
2026-06-04 12:00:00+00:00,9945.708170969674
2026-06-04 16:00:00+00:00,9945.708170969674
2026-06-04 20:00:00+00:00,9945.708170969674
2026-06-05 00:00:00+00:00,9945.708170969674
2026-06-05 04:00:00+00:00,9945.708170969674
2026-06-05 08:00:00+00:00,9945.708170969674
2026-06-05 12:00:00+00:00,9945.708170969674
2026-06-05 16:00:00+00:00,9945.708170969674
2026-06-05 20:00:00+00:00,9945.708170969674
2026-06-06 00:00:00+00:00,9945.708170969674
2026-06-08 00:00:00+00:00,9945.708170969674
2026-06-08 04:00:00+00:00,9945.708170969674
2026-06-08 08:00:00+00:00,9945.708170969674
2026-06-08 12:00:00+00:00,9945.708170969674
2026-06-08 16:00:00+00:00,9945.708170969674
2026-06-08 20:00:00+00:00,9945.708170969674
2026-06-09 00:00:00+00:00,9945.708170969674
2026-06-09 04:00:00+00:00,9945.708170969674
2026-06-09 08:00:00+00:00,9945.708170969674
2026-06-09 12:00:00+00:00,9945.708170969674
2026-06-09 16:00:00+00:00,9945.708170969674
2026-06-09 20:00:00+00:00,9945.708170969674
2026-06-10 00:00:00+00:00,9945.708170969674
2026-06-10 04:00:00+00:00,9945.708170969674
2026-06-10 08:00:00+00:00,9945.708170969674
2026-06-10 12:00:00+00:00,9945.708170969674
2026-06-10 16:00:00+00:00,9945.708170969674
2026-06-10 20:00:00+00:00,9945.708170969674
2026-06-11 00:00:00+00:00,9945.708170969674
2026-06-11 04:00:00+00:00,9945.708170969674
2026-06-11 08:00:00+00:00,9945.708170969674
2026-06-11 12:00:00+00:00,9945.708170969674
2026-06-11 16:00:00+00:00,9945.708170969674
2026-06-11 20:00:00+00:00,9945.708170969674
2026-06-12 00:00:00+00:00,9945.708170969674
2026-06-12 04:00:00+00:00,9945.708170969674
2026-06-12 08:00:00+00:00,9945.708170969674
