entry_time,net_pnl,fees,entry_notional,symbol,exit_time,reason
2026-07-01 08:01:00+00:00,-37.54773094854622,3.987501882546,2010.531055806,QQQ,2026-07-01 20:01:00+00:00,signal_exit
2026-07-02 04:01:00+00:00,-25.333498570709768,3.9832911607099994,2002.32068406,QQQ,2026-07-02 08:01:00+00:00,signal_exit
2026-07-01 00:01:00+00:00,-38.875145333999974,1.8376223339999997,937.3299284999999,TSLA,2026-07-02 14:34:00+00:00,trailing_stop
2026-07-01 08:01:00+00:00,-3.6970651397037697,3.998787579704,1999.242928632,SPY,2026-07-08 08:01:00+00:00,signal_exit
2026-07-01 08:01:00+00:00,146.8975527738002,4.1428676262,1995.9136029,AAPL,2026-07-08 08:01:00+00:00,signal_exit
2026-07-09 08:01:00+00:00,-10.762779170129903,4.01010784013,2008.43025573,AAPL,2026-07-09 12:03:00+00:00,signal_exit
2026-07-09 16:01:00+00:00,-7.233721524119828,4.01093468412,2007.0787354799998,AAPL,2026-07-15 08:01:00+00:00,signal_exit
2026-07-10 08:01:00+00:00,-36.77955698639999,3.2062985864,1619.9359224,TSLA,2026-07-15 12:01:00+00:00,signal_exit
2026-07-09 16:01:00+00:00,-25.107195426360096,3.97949686636,2000.31228246,QQQ,2026-07-15 16:01:00+00:00,signal_exit
2026-07-15 20:01:00+00:00,-6.23816140938573,3.9760262233859995,1989.1441792859998,QQQ,2026-07-16 00:02:00+00:00,signal_exit
2026-07-16 04:01:00+00:00,-17.08482619219201,3.9698889041919996,1991.50192074,QQQ,2026-07-16 08:01:00+00:00,signal_exit
2026-07-09 20:01:00+00:00,-8.070385371480048,4.01082125148,2007.4404078000002,SPY,2026-07-16 20:01:00+00:00,signal_exit
2026-07-15 16:01:00+00:00,-13.45314534220777,3.7517547502080006,1880.7280704,AAPL,2026-07-22 08:01:00+00:00,signal_exit
2026-07-22 16:01:00+00:00,-22.289854422989777,2.8957543129900003,1457.5742065499999,TSLA,2026-07-22 20:01:00+00:00,signal_exit
2026-07-22 16:01:00+00:00,-28.41437583453615,3.934747318536,1979.6134735260002,QQQ,2026-07-23 08:01:00+00:00,signal_exit
2026-07-22 16:01:00+00:00,-19.986541226783928,3.9438515307840003,1979.94711024,SPY,2026-07-23 08:01:00+00:00,signal_exit
2026-07-29 08:01:00+00:00,-30.46200382175989,3.92767070976,1977.1025214360002,SPY,2026-07-29 16:01:00+00:00,signal_exit
2026-07-24 20:01:00+00:00,23.394549116820222,3.6579581431799997,1815.45281796,AAPL,2026-07-29 20:01:00+00:00,signal_exit
2026-07-30 00:01:00+00:00,-17.26354691015991,3.92728951016,1970.31288378,AAPL,2026-07-30 04:14:00+00:00,signal_exit
2026-07-31 04:01:00+00:00,45.497929859999815,3.1683901399999996,1559.86191,TSLA,2026-08-05 16:01:00+00:00,signal_exit
2026-07-31 00:01:00+00:00,66.96011341089029,3.99527809911,1962.1613538000001,QQQ,2026-08-06 12:01:00+00:00,signal_exit
2026-08-06 16:01:00+00:00,-7.010410008726025,3.9889834147260004,1996.00242066,QQQ,2026-08-06 20:01:00+00:00,signal_exit
2026-07-31 04:01:00+00:00,60.204551556119974,3.98003820388,1957.9268070599999,SPY,2026-08-07 00:02:00+00:00,signal_exit
2026-08-05 08:01:00+00:00,-40.104335596656036,3.5008808606560002,1768.742157696,AAPL,2026-08-12 08:01:00+00:00,signal_exit
2026-08-07 20:02:00+00:00,-18.500538591828217,3.651165963828,1833.007668228,TSLA,2026-08-12 16:01:00+00:00,signal_exit
2026-08-13 00:01:00+00:00,18.877436572559965,3.9878020674400005,1982.4684143999998,QQQ,2026-08-17 00:01:00+00:00,planned_end_exit
2026-08-13 12:01:00+00:00,1.5961018798081,3.969114888192,1981.774835712,SPY,2026-08-17 00:01:00+00:00,planned_end_exit
2026-08-14 08:01:00+00:00,-7.178629561740032,3.9749413817400003,1989.0725349600002,AAPL,2026-08-17 00:01:00+00:00,planned_end_exit
2026-08-14 00:01:00+00:00,-4.0213239294599905,3.4783532694599995,1739.44812006,TSLA,2026-08-17 00:01:00+00:00,planned_end_exit
