entry_time,net_pnl,fees,entry_notional,symbol,exit_time,reason
2026-07-01 16:01:00+00:00,-73.81311331362507,3.0462230636250007,1050.7911330000002,TSLA,2026-07-02 14:34:00+00:00,trailing_stop
2026-07-01 16:01:00+00:00,-26.535664751392332,5.9703595463925,2000.4025014,SPY,2026-07-08 12:01:00+00:00,signal_exit
2026-07-01 16:01:00+00:00,79.27138782720561,5.453647902795,1775.5201163999996,AAPL,2026-07-08 12:03:00+00:00,signal_exit
2026-07-10 20:02:00+00:00,-63.03502371180954,5.88446813181,1990.06465506,QQQ,2026-07-16 20:01:00+00:00,signal_exit
2026-07-10 16:01:00+00:00,-27.78938010684964,5.935188806849999,1989.3233645999999,SPY,2026-07-17 04:02:00+00:00,signal_exit
2026-07-22 16:01:00+00:00,-23.22928608377503,5.938192433775,1988.04302475,SPY,2026-07-23 08:01:00+00:00,signal_exit
2026-07-09 20:01:00+00:00,20.909695872710653,6.03043266729,1996.67415816,AAPL,2026-07-23 16:01:00+00:00,signal_exit
2026-07-24 16:01:00+00:00,8.985684523280144,5.464013556720001,1814.1130032,AAPL,2026-07-30 12:01:00+00:00,signal_exit
2026-07-31 00:01:00+00:00,72.89869212202508,6.047990727975,1976.5235679,QQQ,2026-08-05 20:01:00+00:00,signal_exit
2026-07-31 04:01:00+00:00,54.63106898450061,6.0111865154999995,1973.4077107499995,SPY,2026-08-06 16:01:00+00:00,signal_exit
2026-07-31 04:01:00+00:00,31.134527323199993,4.7722974768,1572.8124132000003,TSLA,2026-08-06 16:01:00+00:00,signal_exit
2026-08-07 16:01:00+00:00,-39.381909423024965,5.513413073024999,1854.7386058499999,TSLA,2026-08-12 16:01:00+00:00,signal_exit
2026-08-13 16:01:00+00:00,-3.602713091449706,6.01058399145,2002.3240617,QQQ,2026-08-17 00:01:00+00:00,planned_end_exit
2026-08-13 16:01:00+00:00,-6.100047368099565,6.0069351681,2002.3582787999999,SPY,2026-08-17 00:01:00+00:00,planned_end_exit
2026-08-13 20:01:00+00:00,1.1474277471154983,5.246542662885,1745.6505690899999,TSLA,2026-08-17 00:01:00+00:00,planned_end_exit
