timestamp,symbol,target,reason
2026-07-02 20:00:00+00:00,AAPL,4.67,trend_entry
2026-07-10 20:00:00+00:00,SPY,2.65,trend_entry
2026-07-17 04:00:00+00:00,SPY,0.0,signal_exit
2026-07-20 15:12:00+00:00,AAPL,0.0,trailing_stop
2026-07-31 04:00:00+00:00,QQQ,2.91,trend_entry
2026-07-31 08:00:00+00:00,SPY,2.69,trend_entry
2026-08-19 20:00:00+00:00,TSLA,4.3100000000000005,trend_entry
2026-08-20 12:00:00+00:00,QQQ,0.0,signal_exit
2026-08-20 16:00:00+00:00,SPY,0.0,signal_exit
2026-08-24 13:39:00+00:00,TSLA,0.0,trailing_stop
2026-08-28 16:00:00+00:00,AAPL,6.3100000000000005,trend_entry
2026-09-04 08:00:00+00:00,QQQ,2.82,trend_entry
2026-09-08 13:04:00+00:00,AAPL,0.0,trailing_stop
2026-09-10 12:00:00+00:00,QQQ,0.0,signal_exit
