entry_time,net_pnl,fees,entry_notional,symbol,exit_time,reason
2026-07-01 20:01:00+00:00,-28.56761941681982,3.1288991368199994,1055.6857390799998,TSLA,2026-07-02 13:42:00+00:00,trailing_stop
2026-07-10 20:01:00+00:00,-33.174531070674725,6.010228020675,2016.9914917499998,SPY,2026-07-17 04:02:00+00:00,signal_exit
2026-07-01 20:01:00+00:00,181.11610428141995,5.72430639858,1814.68192752,AAPL,2026-07-20 15:13:00+00:00,trailing_stop
2026-07-24 20:01:00+00:00,-23.075304534799763,5.571681334800001,1865.9789232,AAPL,2026-07-30 14:34:00+00:00,trailing_stop
2026-07-31 08:01:00+00:00,-64.4718901547701,4.51915857477,1536.3625573800002,TSLA,2026-07-31 14:05:00+00:00,trailing_stop
2026-08-14 00:01:00+00:00,-33.43335959370978,5.32131463371,1787.82756705,TSLA,2026-08-14 15:24:00+00:00,trailing_stop
2026-07-31 04:01:00+00:00,58.742741394799964,6.1377314052,2013.4702320000001,QQQ,2026-08-20 12:01:00+00:00,signal_exit
2026-07-31 08:01:00+00:00,45.580813905600124,6.119979494400001,2014.1427681,SPY,2026-08-20 16:01:00+00:00,signal_exit
2026-08-19 20:03:00+00:00,-40.192587171329976,3.4531170513299996,1169.40875217,AAPL,2026-08-21 13:52:00+00:00,trailing_stop
2026-08-19 20:01:00+00:00,1.5350462149452353,4.543658915055,1511.51361912,TSLA,2026-08-24 13:40:00+00:00,trailing_stop
2026-09-03 20:01:00+00:00,-40.07114218865993,3.06470338866,1040.07101562,TSLA,2026-09-04 12:58:00+00:00,trailing_stop
2026-08-28 16:01:00+00:00,-14.303103094999692,6.032328495,2014.9115522999996,AAPL,2026-09-04 16:01:00+00:00,signal_exit
2026-08-27 04:01:00+00:00,-23.515195633999845,6.0023996340000005,2009.5562760000003,QQQ,2026-09-10 12:01:00+00:00,signal_exit
2026-08-27 04:01:00+00:00,-36.80912282459938,5.9822475246,2009.4959458499998,SPY,2026-09-10 16:01:00+00:00,signal_exit
2026-09-11 00:01:00+00:00,28.47179657289984,6.0190457271,1989.10315455,AAPL,2026-09-16 00:06:00+00:00,planned_end_exit
