timestamp,symbol,target,reason
2026-07-02 20:00:00+00:00,AAPL,4.67,trend_entry
2026-07-10 20:00:00+00:00,SPY,2.65,trend_entry
2026-07-17 04:00:00+00:00,SPY,0.0,signal_exit
2026-07-23 16:00:00+00:00,AAPL,0.0,signal_exit
2026-07-31 04:00:00+00:00,QQQ,2.9,trend_entry
2026-07-31 08:00:00+00:00,SPY,2.68,trend_entry
2026-08-19 20:00:00+00:00,TSLA,4.3,trend_entry
2026-08-20 12:00:00+00:00,QQQ,0.0,signal_exit
2026-08-20 16:00:00+00:00,SPY,0.0,signal_exit
2026-08-26 16:00:00+00:00,TSLA,0.0,signal_exit
2026-08-28 16:00:00+00:00,AAPL,6.2700000000000005,trend_entry
2026-09-04 08:00:00+00:00,QQQ,2.8000000000000003,trend_entry
2026-09-04 16:00:00+00:00,AAPL,0.0,signal_exit
2026-09-10 12:00:00+00:00,QQQ,0.0,signal_exit
