entry_time,net_pnl,fees,entry_notional,symbol,exit_time,reason
2026-07-01 16:01:00+00:00,-72.18845055030005,2.0307944503,1050.4760532,TSLA,2026-07-02 14:34:00+00:00,trailing_stop
2026-07-01 16:01:00+00:00,-23.351470207037984,3.980234125038,1999.80268056,SPY,2026-07-08 12:01:00+00:00,signal_exit
2026-07-01 16:01:00+00:00,82.17998706058835,3.635791231412,1774.9877265599998,AAPL,2026-07-08 12:03:00+00:00,signal_exit
2026-07-10 20:02:00+00:00,-60.11523327809965,3.9372795781,1996.7287658999999,QQQ,2026-07-16 20:01:00+00:00,signal_exit
2026-07-10 16:01:00+00:00,-24.623943095159937,3.9567865751599998,1988.7268658399998,SPY,2026-07-17 04:02:00+00:00,signal_exit
2026-07-22 16:01:00+00:00,-20.062247822339923,3.95879036234,1987.4469098999998,SPY,2026-07-23 08:01:00+00:00,signal_exit
2026-07-09 20:01:00+00:00,24.125922286056205,4.020297129944001,1996.075455264,AAPL,2026-07-23 16:01:00+00:00,signal_exit
2026-07-24 16:01:00+00:00,11.921697320190074,3.6493766898100004,1816.9028079000002,AAPL,2026-07-30 12:01:00+00:00,signal_exit
2026-07-31 00:01:00+00:00,76.12427503254008,4.03201810746,1975.93090716,QQQ,2026-08-05 20:01:00+00:00,signal_exit
2026-07-31 04:01:00+00:00,58.055278656480226,4.022599023520001,1980.26057292,SPY,2026-08-06 16:01:00+00:00,signal_exit
2026-07-31 04:01:00+00:00,33.74657191439988,3.1878554856,1575.4605291,TSLA,2026-08-06 16:01:00+00:00,signal_exit
2026-08-07 16:01:00+00:00,-36.57179838906011,3.68874972906,1860.8163888600002,TSLA,2026-08-12 16:01:00+00:00,signal_exit
2026-08-13 16:01:00+00:00,-0.3985181144997969,4.0216816145,2009.0292255,QQQ,2026-08-17 00:01:00+00:00,planned_end_exit
2026-08-13 16:01:00+00:00,-2.907575056679928,4.0201458166799995,2009.5166229599997,SPY,2026-08-17 00:01:00+00:00,planned_end_exit
2026-08-13 20:01:00+00:00,3.9719522851080264,3.5113228228919997,1751.9197738920002,TSLA,2026-08-17 00:01:00+00:00,planned_end_exit
